Run,Monotonic increase score,"Spearman corr(PCA-HI, damage)","Spearman corr(PCA-HI, RUL)"
ds1_b3,0.765661252900232,0.8886512392672894,-0.8886512392672894
ds1_b4,0.6909512761020882,0.6823003205799336,-0.6823003205799336
ds2_b1,0.8026449643947101,0.7909525805985773,-0.7909525805985773
ds3_b3,0.8635141546734145,0.7766374121696238,-0.7766374121696238
