Model,Split configurations,Seed repeats,Runs,Average MAE,SD MAE,Average RMSE,SD RMSE,Average R2,SD R2
CNN baseline,12,3,36,0.20271193380984992,0.08895703564554412,0.23518621037472276,0.09540268753792183,0.1993514448404312,0.6318922166749545
Data-only neural baseline,12,3,36,0.1675957562919292,0.13580029407650124,0.20941718899949457,0.15596034621957897,0.18367361691262987,0.8853204164740616
LSTM baseline,12,3,36,0.18835291390617687,0.07187560054263668,0.23040698603457438,0.07845407848451262,0.25625360012054443,0.47403495278791263
Proposed DeepXDE Physics-Informed RUL Model,12,3,36,0.17764695438866812,0.1477125752883266,0.21601365013307533,0.17027831133638882,0.09455708828237322,0.9981716471700601
