parent_seed,auroc,auprc,prevalence_auprc,brier,prevalence_brier,brier_better_than_prevalence,ece,threshold,all_on_fraction,all_off_fraction,trajectory_candidate_units
42,0.7034858387799565,0.7535449057383878,0.53125,0.2203304828330043,0.2490234375,True,0.08032576015986684,0.535535784365561,0.5,0.5,192
1042,0.6768319438350153,0.7412731596243092,0.5520833333333334,0.23303459151877304,0.2472873263888889,True,0.051430260530577,0.4709822874311638,0.875,0.125,192
2042,0.7375,0.7716901151743311,0.5208333333333334,0.21473225289576492,0.2495659722222222,True,0.10958209176505289,0.4239021582858262,0.875,0.125,192
3042,0.626638986013986,0.6716362836579328,0.5416666666666666,0.24057569782297902,0.2482638888888889,True,0.06533699706469086,0.4839050900820056,0.4322916666666667,0.5677083333333334,192
4042,0.589059829059829,0.6895432117980909,0.609375,0.23318333708199446,0.238037109375,True,0.035299036616416646,0.5041079341511319,0.8125,0.1875,192
