parent_seed,method,status,mae,mse,rmse,r2,macro_run_rmse,samples,runs
42,all_off,completed,0.14235078857444033,0.03082797139598557,0.17557896057325767,0.5979231408875729,0.1674934335819069,1041,16
42,all_on,completed,0.14037933676368508,0.029437706807819906,0.1715742020462864,0.6160558039734636,0.16663258405583675,1041,16
42,anti_oracle,completed,0.17896001283200028,0.0487676898914486,0.22083407774038996,0.36394259207480895,0.20668806140079993,1041,16
42,data_only,completed,0.14235078857444033,0.03082797139598557,0.17557896057325767,0.5979231408875729,0.1674934335819069,1041,16
42,inverse_residual,completed,0.14260408854148493,0.030377667037732096,0.17429190181340065,0.6037962799172389,0.16864138421212588,1041,16
42,oracle,completed,0.12209993153583858,0.022568634918684022,0.1502286088555839,0.7056463519444818,0.14533802776978386,1041,16
42,priorcred,completed,0.13243076484022054,0.025551665917289978,0.15984888462948366,0.666739875772304,0.15868411070997568,1041,16
42,random_credibility,completed,0.14100908541322504,0.029757972388202568,0.17250499235733024,0.611878708536725,0.16750380801586343,1041,16
42,validation_selected_scalar,completed,0.14235078857444033,0.03082797139598557,0.17557896057325767,0.5979231408875729,0.1674934335819069,1041,16
1042,all_off,completed,0.14476006789227785,0.030872659874961853,0.17570617483447146,0.5973402869905553,0.16914631880713188,1041,16
1042,all_on,completed,0.1425988422536741,0.02926900551758329,0.17108186788079938,0.6182561071992343,0.16651984488213928,1041,16
1042,anti_oracle,completed,0.18167213194412166,0.0486630854911455,0.2205971112484148,0.3653069052883825,0.20884802804986535,1041,16
1042,data_only,completed,0.14476006789227785,0.030872659874961853,0.17570617483447146,0.5973402869905553,0.16914631880713188,1041,16
1042,inverse_residual,completed,0.14464338974513552,0.030078774593501747,0.17343233433677166,0.6076946141165572,0.16826350529528492,1041,16
1042,oracle,completed,0.12660407550455896,0.023444269374679423,0.1531152160129078,0.694225803142393,0.14658041526818097,1041,16
1042,priorcred,completed,0.1367046086295749,0.02706469011152897,0.16451349522616365,0.6470061084099812,0.16203526081097389,1041,16
1042,random_credibility,completed,0.14288859769256024,0.02947906231406842,0.17169467759388587,0.615516420702154,0.16663459420572174,1041,16
1042,validation_selected_scalar,completed,0.14476006789227785,0.030872659874961853,0.17570617483447146,0.5973402869905553,0.16914631880713188,1041,16
2042,all_off,completed,0.1401089469738498,0.029018669242811816,0.17034866962442594,0.6215211427667424,0.16331410894422088,1041,16
2042,all_on,completed,0.13688946425678578,0.026897542473169018,0.16400470259467873,0.6491861479778323,0.16088657263270717,1041,16
2042,anti_oracle,completed,0.18015278393248388,0.047329707684484516,0.21755391902809867,0.3826976169127704,0.20670960663495608,1041,16
2042,data_only,completed,0.1401089469738498,0.029018669242811816,0.17034866962442594,0.6215211427667424,0.16331410894422088,1041,16
2042,inverse_residual,completed,0.13944773478067723,0.027807409110403244,0.1667555369707502,0.63731912257382,0.16282658056998453,1041,16
2042,oracle,completed,0.11497194522858943,0.020197072596324868,0.14211640509218093,0.7365776875654728,0.1364019642125096,1041,16
2042,priorcred,completed,0.1290800288447248,0.024083251565623198,0.155187794512401,0.6858918148606696,0.1539622448299296,1041,16
2042,random_credibility,completed,0.1370618600223023,0.027147057137456188,0.164763640216694,0.6459318283461439,0.16139664484337768,1041,16
2042,validation_selected_scalar,completed,0.1401089469738498,0.029018669242811816,0.17034866962442594,0.6215211427667424,0.16331410894422088,1041,16
3042,all_off,completed,0.14849386751601665,0.03202266830599821,0.1789487868246058,0.582341188543094,0.1738668289755884,1041,16
3042,all_on,completed,0.1485041314065027,0.03185807970245032,0.17848831811199947,0.584487851646877,0.17230258227892897,1041,16
3042,anti_oracle,completed,0.18567306846193635,0.05052654666964551,0.224781108346866,0.3410025289768489,0.21340053081884028,1041,16
3042,data_only,completed,0.14849386751601665,0.03202266830599821,0.1789487868246058,0.582341188543094,0.1738668289755884,1041,16
3042,inverse_residual,completed,0.1507631391323286,0.03273869359004905,0.1809383695904466,0.5730023581167192,0.17394229943919756,1041,16
3042,oracle,completed,0.1307168800896266,0.02463617104213812,0.15695913812880766,0.6786803080247654,0.15131351417666764,1041,16
3042,priorcred,completed,0.13532876447999947,0.02674222424805665,0.1635304994429377,0.651211901256046,0.16006773450683998,1041,16
3042,random_credibility,completed,0.14853667545022642,0.03182315827396324,0.17839046575970152,0.5849433178240524,0.17220103384179053,1041,16
3042,validation_selected_scalar,completed,0.14849386751601665,0.03202266830599821,0.1789487868246058,0.582341188543094,0.1738668289755884,1041,16
4042,all_off,completed,0.16933871962945984,0.042815157735436385,0.20691823925269706,0.44157908013015923,0.1904432204907172,1041,16
4042,all_on,completed,0.1682102197511023,0.042527967019979934,0.20622310011242662,0.44532479337718855,0.18949281875322727,1041,16
4042,anti_oracle,completed,0.19455535523295214,0.056921004819707875,0.2385812331674641,0.2576021775337519,0.22043965316813188,1041,16
4042,data_only,completed,0.16933871962945984,0.042815157735436385,0.20691823925269706,0.44157908013015923,0.1904432204907172,1041,16
4042,inverse_residual,completed,0.17009115365612723,0.04340369051708618,0.20833552389615695,0.4339030832476247,0.19099032347152234,1041,16
4042,oracle,completed,0.15720203802550026,0.03675170933189488,0.19170735335895409,0.5206622042893994,0.1747834818651571,1041,16
4042,priorcred,completed,0.16562197026712075,0.041192580233697124,0.20295955319643647,0.4627417073165452,0.1866712370183375,1041,16
4042,random_credibility,completed,0.16883651560484378,0.04279628286170493,0.20687262472764473,0.44182525753342095,0.19006683892609447,1041,16
4042,validation_selected_scalar,completed,0.16933871962945984,0.042815157735436385,0.20691823925269706,0.44157908013015923,0.1904432204907172,1041,16
