method,mean_rmse,sd_rmse,mean_macro_run_rmse,sd_macro_run_rmse,mean_r2,improvement_vs_data_pct,improvement_vs_all_on_pct
oracle,0.1588253442896869,0.019172945261705748,0.15088348065845986,0.014408137670903034,0.6671584709933025,12.709833898495498,11.850072747964068
priorcred,0.1692080454014845,0.019219774538491118,0.16428411757521133,0.012863898065386115,0.6227182815231093,4.957203741606264,4.021083357028
all_on,0.1782744381492381,0.016442513751475426,0.1711668805205679,0.011011009780162097,0.5826621408349191,0.9753396030302145,0.0
random_credibility,0.17884528013105128,0.016396355156133902,0.17156058396656956,0.011033133206480453,0.5800191065884992,0.7475715329522655,-0.23001146296778294
all_off,0.18150016622189158,0.014539384979448546,0.17285278215991307,0.01053445046141535,0.5681409678636248,0.0,-0.9849461731252355
data_only,0.18150016622189158,0.014539384979448546,0.17285278215991307,0.01053445046141535,0.5681409678636248,0.0,-0.9849461731252355
validation_selected_scalar,0.18150016622189158,0.014539384979448546,0.17285278215991307,0.01053445046141535,0.5681409678636248,0.0,-0.9849461731252355
inverse_residual,0.1807507333215052,0.01621802136099559,0.17293281859762305,0.010833368320980656,0.571143091594392,-0.046303239502352926,-1.0317054746130998
anti_oracle,0.2244694899062467,0.008295707663892047,0.21121717601451867,0.005836631006511029,0.34211036415731255,-22.194837349573675,-23.398390723804905
