true_family,units,safe_fraction,auroc,auprc
gamma,240,0.375,0.5678518518518518,0.4768183567048307
linear_increasing,240,0.5833333333333334,0.5869285714285714,0.6958769879372253
progressively_increasing,240,0.5916666666666667,0.7063092842770912,0.7771415047552053
step_like,240,0.6541666666666667,0.8074591359066841,0.8954792903887693
