parent_seed,run_id,method,rmse,data_only_rmse,physics_regret,positive_physics_regret
42,pca_gamma_test_01,all_off,0.05172118629382416,0.05172118629382416,0.0,0.0
42,pca_gamma_test_01,all_on,0.06621173237608535,0.05172118629382416,0.014490546082261191,0.014490546082261191
42,pca_gamma_test_01,anti_oracle,0.06677585350166126,0.05172118629382416,0.015054667207837102,0.015054667207837102
42,pca_gamma_test_01,data_only,0.05172118629382416,0.05172118629382416,0.0,0.0
42,pca_gamma_test_01,inverse_residual,0.0626928568445364,0.05172118629382416,0.010971670550712243,0.010971670550712243
42,pca_gamma_test_01,oracle,0.06169353318733458,0.05172118629382416,0.009972346893510418,0.009972346893510418
42,pca_gamma_test_01,priorcred,0.06419444894384482,0.05172118629382416,0.012473262650020661,0.012473262650020661
42,pca_gamma_test_01,random_credibility,0.06719647482971992,0.05172118629382416,0.015475288535895762,0.015475288535895762
42,pca_gamma_test_01,validation_selected_scalar,0.05172118629382416,0.05172118629382416,0.0,0.0
42,pca_gamma_test_02,all_off,0.09463784712131722,0.09463784712131722,0.0,0.0
42,pca_gamma_test_02,all_on,0.10232156745620867,0.09463784712131722,0.007683720334891453,0.007683720334891453
42,pca_gamma_test_02,anti_oracle,0.14048787290501158,0.09463784712131722,0.04585002578369436,0.04585002578369436
42,pca_gamma_test_02,data_only,0.09463784712131722,0.09463784712131722,0.0,0.0
42,pca_gamma_test_02,inverse_residual,0.10273278672165777,0.09463784712131722,0.00809493960034055,0.00809493960034055
42,pca_gamma_test_02,oracle,0.07625725806237776,0.09463784712131722,-0.018380589058939453,0.0
42,pca_gamma_test_02,priorcred,0.17285771143482745,0.09463784712131722,0.07821986431351023,0.07821986431351023
42,pca_gamma_test_02,random_credibility,0.10363700454544494,0.09463784712131722,0.008999157424127727,0.008999157424127727
42,pca_gamma_test_02,validation_selected_scalar,0.09463784712131722,0.09463784712131722,0.0,0.0
42,pca_gamma_test_03,all_off,0.08709028272187719,0.08709028272187719,0.0,0.0
42,pca_gamma_test_03,all_on,0.10963060111089785,0.08709028272187719,0.022540318389020667,0.022540318389020667
42,pca_gamma_test_03,anti_oracle,0.10963060633537523,0.08709028272187719,0.022540323613498045,0.022540323613498045
42,pca_gamma_test_03,data_only,0.08709028272187719,0.08709028272187719,0.0,0.0
42,pca_gamma_test_03,inverse_residual,0.10713027812691915,0.08709028272187719,0.020039995405041963,0.020039995405041963
42,pca_gamma_test_03,oracle,0.08709028272187719,0.08709028272187719,0.0,0.0
42,pca_gamma_test_03,priorcred,0.10487727080820565,0.08709028272187719,0.017786988086328462,0.017786988086328462
42,pca_gamma_test_03,random_credibility,0.11114571899028823,0.08709028272187719,0.024055436268411043,0.024055436268411043
42,pca_gamma_test_03,validation_selected_scalar,0.08709028272187719,0.08709028272187719,0.0,0.0
42,pca_gamma_test_04,all_off,0.19584243346703362,0.19584243346703362,0.0,0.0
42,pca_gamma_test_04,all_on,0.2021163404923994,0.19584243346703362,0.006273907025365788,0.006273907025365788
42,pca_gamma_test_04,anti_oracle,0.26203803615917165,0.19584243346703362,0.06619560269213803,0.06619560269213803
42,pca_gamma_test_04,data_only,0.19584243346703362,0.19584243346703362,0.0,0.0
42,pca_gamma_test_04,inverse_residual,0.2094589051644412,0.19584243346703362,0.013616471697407595,0.013616471697407595
42,pca_gamma_test_04,oracle,0.1676562812173437,0.19584243346703362,-0.028186152249689927,0.0
42,pca_gamma_test_04,priorcred,0.15784080973513576,0.19584243346703362,-0.03800162373189786,0.0
42,pca_gamma_test_04,random_credibility,0.20337924649608163,0.19584243346703362,0.007536813029048017,0.007536813029048017
42,pca_gamma_test_04,validation_selected_scalar,0.19584243346703362,0.19584243346703362,0.0,0.0
42,pca_linear_test_01,all_off,0.21235870369916687,0.21235870369916687,0.0,0.0
42,pca_linear_test_01,all_on,0.19817224633425576,0.21235870369916687,-0.014186457364911115,0.0
42,pca_linear_test_01,anti_oracle,0.245931055677265,0.21235870369916687,0.03357235197809813,0.03357235197809813
42,pca_linear_test_01,data_only,0.21235870369916687,0.21235870369916687,0.0,0.0
42,pca_linear_test_01,inverse_residual,0.1994551293816868,0.21235870369916687,-0.012903574317480071,0.0
42,pca_linear_test_01,oracle,0.16681760132632636,0.21235870369916687,-0.04554110237284051,0.0
42,pca_linear_test_01,priorcred,0.2358456220780262,0.21235870369916687,0.02348691837885933,0.02348691837885933
42,pca_linear_test_01,random_credibility,0.19612874273573205,0.21235870369916687,-0.01622996096343482,0.0
42,pca_linear_test_01,validation_selected_scalar,0.21235870369916687,0.21235870369916687,0.0,0.0
42,pca_linear_test_02,all_off,0.10026834677257872,0.10026834677257872,0.0,0.0
42,pca_linear_test_02,all_on,0.09640425739067199,0.10026834677257872,-0.0038640893819067296,0.0
