parent_seed,run_id,true_family,condition_id,data_only_rmse,controlled_rmse,control_regret,positive_control_regret,harmful_control,coverage,model,outer_fold,threshold,calibration_feasible
42,pca_gamma_train_07,gamma,train_l4600_ls200_s54_n6,0.0969534688398533,0.1033322559957224,0.006378787155869106,0.006378787155869106,0,0.4090909090909091,logistic_safe,0,0.21688949226056561,True
42,pca_gamma_train_13,gamma,train_l6200_ls200_s42_n10,0.13981105423201876,0.13941519247231554,-0.00039586175970321436,0.0,0,0.09523809523809523,logistic_safe,0,0.21688949226056561,True
42,pca_gamma_validation_01,gamma,validation_l4200_ls100_s45_n7,0.23588447948663668,0.18605150444182186,-0.04983297504481482,0.0,0,0.5111111111111111,logistic_safe,0,0.21688949226056561,True
42,pca_gamma_validation_03,gamma,validation_l5800_ls180_s57_n13,0.098655487113512,0.10392913433882975,0.005273647225317743,0.005273647225317743,0,0.11042944785276074,logistic_safe,0,0.21688949226056561,True
42,pca_linear_train_03,linear_increasing,train_l3800_ls160_s54_n14,0.25624761146484226,0.2564964232634396,0.00024881179859731484,0.00024881179859731484,0,0.0044444444444444444,logistic_safe,0,0.21688949226056561,True
42,pca_linear_train_05,linear_increasing,train_l4600_ls120_s42_n14,0.13234890437101585,0.1381451965806626,0.005796292209646753,0.005796292209646753,0,0.021739130434782608,logistic_safe,0,0.21688949226056561,True
42,pca_linear_train_06,linear_increasing,train_l4600_ls160_s48_n8,0.07978831742528951,0.07978831742528951,0.0,0.0,0,0.0,logistic_safe,0,0.21688949226056561,True
42,pca_linear_train_12,linear_increasing,train_l5400_ls120_s60_n6,0.0543547794222831,0.0543547794222831,0.0,0.0,0,0.0,logistic_safe,0,0.21688949226056561,True
42,pca_progressive_train_02,progressively_increasing,train_l3800_ls120_s48_n10,0.373135152790416,0.3733751982356692,0.00024004544525324523,0.00024004544525324523,0,0.09041095890410959,logistic_safe,0,0.21688949226056561,True
42,pca_progressive_train_03,progressively_increasing,train_l3800_ls160_s54_n14,0.2449152049988441,0.24498513647261247,6.993147376838094e-05,6.993147376838094e-05,0,0.02242152466367713,logistic_safe,0,0.21688949226056561,True
42,pca_progressive_train_13,progressively_increasing,train_l6200_ls200_s42_n10,0.12863833638177702,0.12863833638177702,0.0,0.0,0,0.0,logistic_safe,0,0.21688949226056561,True
42,pca_progressive_train_14,progressively_increasing,train_l6200_ls80_s48_n6,0.14781276479474964,0.1140231707453232,-0.03378959404942644,0.0,0,0.6125,logistic_safe,0,0.21688949226056561,True
42,pca_step_train_02,step_like,train_l3800_ls120_s48_n10,0.1786646150858729,0.17847532185103426,-0.0001892932348386278,0.0,0,0.14942528735632185,logistic_safe,0,0.21688949226056561,True
42,pca_step_train_04,step_like,train_l3800_ls200_s60_n8,0.30477002718114465,0.28100443673044656,-0.023765590450698093,0.0,0,0.20408163265306123,logistic_safe,0,0.21688949226056561,True
42,pca_step_train_05,step_like,train_l4600_ls120_s42_n14,0.2663355247559737,0.2663355247559737,0.0,0.0,0,0.0,logistic_safe,0,0.21688949226056561,True
42,pca_step_train_10,step_like,train_l5400_ls200_s48_n14,0.21067359034866306,0.21067359034866306,0.0,0.0,0,0.0,logistic_safe,0,0.21688949226056561,True
42,pca_gamma_train_01,gamma,train_l3800_ls80_s42_n6,0.28807756033958665,0.272551427071704,-0.015526133267882658,0.0,0,0.20689655172413793,logistic_safe,1,0.3721822064237902,True
42,pca_gamma_train_06,gamma,train_l4600_ls160_s48_n8,0.2027759025491381,0.19763780840363768,-0.005138094145500427,0.0,0,0.8596491228070176,logistic_safe,1,0.3721822064237902,True
42,pca_gamma_train_15,gamma,train_l6200_ls120_s54_n8,0.15068087059781934,0.16926782602367302,0.018586955425853674,0.018586955425853674,1,0.953125,logistic_safe,1,0.3721822064237902,True
42,pca_gamma_validation_02,gamma,validation_l5000_ls140_s51_n11,0.2003265729415688,0.18312475898460814,-0.01720181395696066,0.0,0,0.49056603773584906,logistic_safe,1,0.3721822064237902,True
42,pca_linear_train_01,linear_increasing,train_l3800_ls80_s42_n6,0.35142162939401966,0.35277351938025125,0.0013518899862315914,0.0013518899862315914,0,0.7270341207349081,logistic_safe,1,0.3721822064237902,True
42,pca_linear_train_04,linear_increasing,train_l3800_ls200_s60_n8,0.08991836997536565,0.11190598234522323,0.02198761236985758,0.02198761236985758,1,1.0,logistic_safe,1,0.3721822064237902,True
42,pca_linear_train_15,linear_increasing,train_l6200_ls120_s54_n8,0.2526663815458305,0.22121338485389158,-0.031452996691938906,0.0,0,0.864406779661017,logistic_safe,1,0.3721822064237902,True
42,pca_linear_validation_01,linear_increasing,validation_l4200_ls100_s45_n7,0.21178397738727367,0.21084088076368795,-0.0009430966235857152,0.0,0,0.9107981220657277,logistic_safe,1,0.3721822064237902,True
42,pca_progressive_train_06,progressively_increasing,train_l4600_ls160_s48_n8,0.240309111423705,0.2523338662136817,0.012024754789976694,0.012024754789976694,1,0.625,logistic_safe,1,0.3721822064237902,True
42,pca_progressive_train_09,progressively_increasing,train_l5400_ls160_s42_n8,0.13985215903470313,0.14772232769273516,0.007870168658032028,0.007870168658032028,0,0.6956521739130435,logistic_safe,1,0.3721822064237902,True
42,pca_progressive_train_16,progressively_increasing,train_l6200_ls160_s60_n14,0.08011222459225222,0.08011222459225222,0.0,0.0,0,0.0,logistic_safe,1,0.3721822064237902,True
42,pca_progressive_validation_01,progressively_increasing,validation_l4200_ls100_s45_n7,0.12838732828020974,0.17677381484498378,0.04838648656477404,0.04838648656477404,1,0.9570405727923628,logistic_safe,1,0.3721822064237902,True
42,pca_step_train_06,step_like,train_l4600_ls160_s48_n8,0.1662263192227718,0.18260164062802012,0.016375321405248305,0.016375321405248305,1,0.8363636363636363,logistic_safe,1,0.3721822064237902,True
42,pca_step_train_07,step_like,train_l4600_ls200_s54_n6,0.09706063040040534,0.10107219525718122,0.004011564856775882,0.004011564856775882,0,0.9666666666666667,logistic_safe,1,0.3721822064237902,True
42,pca_step_train_12,step_like,train_l5400_ls120_s60_n6,0.18781946085006868,0.16695022337468685,-0.02086923747538183,0.0,0,1.0,logistic_safe,1,0.3721822064237902,True
42,pca_step_train_15,step_like,train_l6200_ls120_s54_n8,0.180010616434798,0.180102153846417,9.15374116190193e-05,9.15374116190193e-05,0,0.9361702127659575,logistic_safe,1,0.3721822064237902,True
42,pca_gamma_train_02,gamma,train_l3800_ls120_s48_n10,0.13878219079990783,0.11636209606286806,-0.022420094737039778,0.0,0,0.5833333333333334,logistic_safe,2,0.3737681447979245,True
42,pca_gamma_train_04,gamma,train_l3800_ls200_s60_n8,0.04456631297088619,0.057994988001749403,0.013428675030863216,0.013428675030863216,1,1.0,logistic_safe,2,0.3737681447979245,True
42,pca_gamma_train_12,gamma,train_l5400_ls120_s60_n6,0.09860206940038249,0.10940600822294415,0.010803938822561657,0.010803938822561657,1,1.0,logistic_safe,2,0.3737681447979245,True
42,pca_gamma_train_16,gamma,train_l6200_ls160_s60_n14,0.07980904448406728,0.07980904448406728,0.0,0.0,0,0.0,logistic_safe,2,0.3737681447979245,True
42,pca_linear_train_09,linear_increasing,train_l5400_ls160_s42_n8,0.2598071058064634,0.255550973388825,-0.004256132417638392,0.0,0,0.1393939393939394,logistic_safe,2,0.3737681447979245,True
42,pca_linear_train_10,linear_increasing,train_l5400_ls200_s48_n14,0.11590760823402273,0.11590760823402273,0.0,0.0,0,0.0,logistic_safe,2,0.3737681447979245,True
42,pca_linear_train_13,linear_increasing,train_l6200_ls200_s42_n10,0.29683703034845094,0.2969810105229995,0.0001439801745485858,0.0001439801745485858,0,0.09090909090909091,logistic_safe,2,0.3737681447979245,True
42,pca_linear_validation_03,linear_increasing,validation_l5800_ls180_s57_n13,0.10017820750102394,0.10017820750102394,0.0,0.0,0,0.0,logistic_safe,2,0.3737681447979245,True
42,pca_progressive_train_01,progressively_increasing,train_l3800_ls80_s42_n6,0.11666637566376836,0.0645717837299188,-0.05209459193384956,0.0,0,0.7804878048780488,logistic_safe,2,0.3737681447979245,True
42,pca_progressive_train_07,progressively_increasing,train_l4600_ls200_s54_n6,0.09386244704173441,0.08365678582164837,-0.010205661220086037,0.0,0,1.0,logistic_safe,2,0.3737681447979245,True
