model,trajectory_seed_units,macro_run_rmse,data_only_macro_run_rmse,relative_improvement_percent,mean_control_regret,mean_positive_control_regret,harm_rate,maximum_control_regret,mean_coverage,feasible_fold_fraction,development_eligible
logistic_safe,400,0.17316882475596543,0.17628187035952395,1.7659476820897761,-0.003113045603558493,0.0024259614096728103,0.09,0.04838648656477404,0.2977571304398385,0.96,True
extra_trees_safe,400,0.17605124144137518,0.17628187035952395,0.1308296296598159,-0.00023062891814871645,0.0018927228798672805,0.0575,0.06468534585752825,0.210922444327234,0.96,True
extra_trees_regret,400,0.17630012376050408,0.17628187035952395,-0.010354667183248243,1.8253400980187408e-05,0.002552102895160962,0.07,0.084635047566393,0.18364413382206876,0.84,False
