parent_seed,model,outer_fold,fit_trajectories,calibration_trajectories,held_out_trajectories,threshold,calibration_feasible,calibration_macro_run_rmse,calibration_data_only_macro_run_rmse,calibration_mean_control_regret,calibration_mean_positive_control_regret,calibration_harm_rate,calibration_maximum_control_regret,calibration_coverage,held_out_macro_run_rmse,held_out_data_only_macro_run_rmse,held_out_mean_control_regret,held_out_mean_positive_control_regret,held_out_harm_rate,held_out_maximum_control_regret,held_out_coverage
42,logistic_safe,0,48,16,16,0.21688949226056561,True,0.1823349251780388,0.1854643196855948,-0.0031293945075559606,0.004728370994939678,0.0625,0.061421627787816624,0.3899634082592786,0.17868896996636652,0.1843118324183058,-0.005622862451939291,0.001125469706778284,0.0,0.006378787155869106,0.13116726835138387
42,logistic_safe,1,48,16,16,0.3721822064237902,True,0.1699943535563448,0.17737999527726428,-0.0073856417209195,0.0036412648854097056,0.0625,0.045366353956597855,0.7298969072164948,0.18793650214228969,0.1854643196855948,0.0024721824566949135,0.00816789321677305,0.3125,0.04838648656477404,0.8552012545739676
42,logistic_safe,2,48,16,16,0.3737681447979245,True,0.158153873669132,0.16382052515291878,-0.005666651483786798,0.001613927624400482,0.0,0.00996126014568216,0.26024096385542167,0.16644862941509808,0.17737999527726428,-0.01093136586216618,0.0015235371267483411,0.125,0.013428675030863216,0.6402061855670103
42,logistic_safe,3,48,16,16,0.27839262502013784,True,0.1654080136012971,0.16694503467206262,-0.0015370210707655535,0.002595528356286743,0.0625,0.01905324212640941,0.23045267489711935,0.15757042529923485,0.16382052515291878,-0.006250099853683946,8.002434201330975e-05,0.0,0.001280389472212956,0.20963855421686747
42,logistic_safe,4,48,16,16,0.23864522011743633,True,0.1781469667642848,0.1843118324183058,-0.00616486565402098,0.002271337818117605,0.0625,0.017282218098323143,0.15042117930204574,0.16632345966713605,0.16694503467206262,-0.0006215750049265948,0.002238727261549894,0.0625,0.026933185316755592,0.19238683127572018
42,extra_trees_safe,0,48,16,16,0.3141194227126413,True,0.17936695144854037,0.1854643196855948,-0.006097368237054384,0.002176681760922958,0.0625,0.012493974553221515,0.7396759017250392,0.182518480516436,0.1843118324183058,-0.0017933519018697975,0.0029307378523018486,0.0625,0.015266326969956612,0.746690734055355
42,extra_trees_safe,1,48,16,16,0.33413940539053555,True,0.17441355839602554,0.17737999527726428,-0.002966436881238749,0.0020709369155546154,0.0625,0.017043029270143895,0.6103092783505155,0.18831282314904887,0.1854643196855948,0.0028485034634540968,0.004779093198061089,0.1875,0.02320022090065875,0.5033978044955567
42,extra_trees_safe,2,48,16,16,0.3480517680159761,True,0.15993089023841822,0.16382052515291878,-0.0038896349145005745,0.000961482208393618,0.0,0.008083332386498304,0.43012048192771085,0.17046612570763214,0.17737999527726428,-0.006913869569632152,0.0010793773276351931,0.0,0.00622667202412696,0.5969072164948453
42,extra_trees_safe,3,48,16,16,0.35499668552326513,True,0.16712733095594995,0.16694503467206262,0.00018229628388731055,0.004265578160970452,0.0625,0.04146239489090618,0.7901234567901234,0.16248056293369517,0.16382052515291878,-0.0013399622192236246,0.0037279471037111617,0.125,0.01896829541695652,0.5373493975903615
42,extra_trees_safe,4,48,16,16,0.1688976014204599,True,0.18510337465037932,0.1843118324183058,0.0007915422320735254,0.0009886012159990411,0.0,0.008205215435066318,0.05054151624548736,0.16725995919774908,0.16694503467206262,0.00031492452568645385,0.0014663756625221801,0.0625,0.02286519561035001,0.056584362139917695
42,extra_trees_regret,0,48,16,16,-0.05345654122827835,True,0.1867833257716311,0.1854643196855948,0.0013190060860363189,0.0013492817457596354,0.0625,0.016511236794223366,0.0501829587036069,0.18358752670343018,0.1843118324183058,-0.0007243057148756107,0.0008009124359092982,0.0,0.007557671517133699,0.03910950661853189
42,extra_trees_regret,1,48,16,16,-0.07663705685230579,True,0.17837382804916668,0.17737999527726428,0.0009938327719023967,0.0009938327719023967,0.0625,0.015901324350438346,0.050515463917525774,0.1854643196855948,0.1854643196855948,0.0,0.0,0.0,0.0,0.0
42,extra_trees_regret,2,48,16,16,-0.03757795338780167,False,0.16382052515291878,0.16382052515291878,0.0,0.0,0.0,0.0,0.0,0.17818145433269272,0.17737999527726428,0.000801459055428437,0.0009673884243800827,0.0625,0.015478214790081324,0.12371134020618557
42,extra_trees_regret,3,48,16,16,-0.06039013344936673,True,0.16921795859399275,0.16694503467206262,0.0022729239219301256,0.0028865538960893226,0.0625,0.03681447433935048,0.06995884773662552,0.16382052515291878,0.16382052515291878,0.0,0.0,0.0,0.0,0.0
42,extra_trees_regret,4,48,16,16,-0.02752050160030207,True,0.18530447654187826,0.1843118324183058,0.0009926441235724925,0.0010334996968563012,0.0,0.007955066859722151,0.05054151624548736,0.1666760883897213,0.16694503467206262,-0.00026894628234133255,0.00878282503220351,0.3125,0.045420359418828826,0.43106995884773663
1042,logistic_safe,0,48,16,16,0.2746888234063888,True,0.18817053785399623,0.18780158501452437,0.000368952839471858,0.0007254140256059303,0.0,0.005699280950086372,0.06050955414012739,0.19953120782626255,0.1987014621415795,0.0008297456846830583,0.0009262085022627344,0.0,0.0046237607544739046,0.051434759068760154
1042,logistic_safe,1,48,16,16,0.4638149113872766,True,0.18187674231671885,0.1887613540071797,-0.006884611690460843,0.004057425302893699,0.0625,0.02570922227727622,0.6801242236024845,0.18671043940438967,0.18780158501452437,-0.001091145610134671,0.00879217599018246,0.3125,0.04836535623280186,0.8683651804670913
