scope,seed,auroc,auprc,brier,ece,fallback_fraction,all_on_fraction,auroc_std,auprc_std,brier_std,ece_std,fallback_fraction_std,all_on_fraction_std
seed,42,0.7251838235294118,0.24270425772123091,0.14353609543495346,0.1345492738612107,0.9838676948051948,0.01613230519480524,,,,,,
seed,1042,0.5366115196078431,0.17395833333333333,0.14850411590975363,0.14493375941110556,1.0,0.0,,,,,,
seed,2042,0.7113970588235294,0.24074591053596003,0.14972667497019504,0.14921759725726358,1.0,0.0,,,,,,
seed,3042,0.757046568627451,0.2885543269639132,0.12051160512109535,0.09355485595584953,0.30602783057051347,0.6939721694294865,,,,,,
seed,4042,0.5741421568627452,0.19160085130314408,0.1496280182582943,0.148780731847139,1.0,0.0,,,,,,
seed_mean,all,0.6608762254901961,0.22751273597151628,0.14238130193885837,0.13420724366651368,0.8579791050751417,0.14202089492485834,0.09861677399674991,0.04552392935417386,0.012485746275509073,0.023481317168769427,0.3086292072363202,0.3086292072363202
mean_probability_ensemble,all,0.7536764705882353,0.2822436190660266,0.13341616352317848,0.10409490697038262,0.8579791050751417,0.14202089492485825,,,,,,
saved_cross_seed_pooled,all,0.5427757352941176,0.18696554765451007,0.14238130193885837,0.128108416228962,,,,,,,,
