negative_class,mean_seed_auroc,seed_auroc_std,minimum_seed_auroc,maximum_seed_auroc
wrong_progression_family,0.6764583333333334,0.10893634479990691,0.5371527777777777,0.7836805555555556
time_scale_fast,0.6291666666666667,0.06844550625416461,0.546875,0.6875
time_scale_slow,0.4588541666666667,0.029485791363996143,0.42708333333333337,0.5026041666666666
