true_family,mean_seed_auroc,seed_auroc_std,minimum_seed_auroc,maximum_seed_auroc
gamma,0.3852941176470588,0.11894706578904393,0.19117647058823528,0.5
linear_increasing,0.8225490196078431,0.18888139727776507,0.5,0.9558823529411764
progressively_increasing,0.8,0.18938958787073937,0.5,0.9411764705882353
step_like,0.6730392156862746,0.044307868778339844,0.644607843137255,0.75
