feature_set,mean_auroc,std_auroc,mean_auprc,mean_brier,seeds
residual_only,0.8137254901960784,0.0542724940221709,0.41914918361284287,0.12897384425854758,5
without_candidate_family,0.8125612745098039,0.060610448809012014,0.41887307174012206,0.12072315281766097,5
full_allowed,0.7503676470588235,0.08089146236952378,0.3801515338891316,0.12698348824046213,5
without_shift,0.7482843137254902,0.0693233818363139,0.3553270098137366,0.1330732186928963,5
condition_only,0.5,0.0,0.15,0.25,5
