parent_seed,all_off,all_on,anti_oracle,data_only,inverse_residual,oracle,priorcred,random_credibility,validation_selected_scalar,priorcred_improvement_percent
42,0.15594867434516466,0.15527411163564953,0.19242371372403794,0.15594867434516466,0.15610772441633125,0.13023638608049304,0.1541077024138296,0.1556354535411486,0.15594867434516466,1.1804986089592513
1042,0.15909816172643132,0.15608658841553605,0.19501797484869526,0.15909816172643132,0.15685355990865513,0.13444392837650612,0.15846011497104823,0.15665710561844126,0.15909816172643132,0.40103967793179884
2042,0.15144119531931285,0.15094864451111964,0.1899919545706834,0.15144119531931285,0.15158576684421318,0.12560245690085564,0.1500262582693511,0.15186442150785648,0.15144119531931285,0.9343145020602721
3042,0.1614248730502521,0.15691644010993575,0.19631147493461865,0.1614248730502521,0.15760679474558667,0.13532493023424258,0.16230259481072368,0.15733343009372436,0.1614248730502521,-0.5437339016511631
4042,0.1816138460352552,0.17890559031581565,0.21011186024736422,0.1816138460352552,0.1792589711521345,0.16418300360412774,0.1795613681917493,0.17898578604284382,0.1816138460352552,1.1301329101898268
