parent_seed,run_id,method,rmse,data_only_rmse,physics_regret,positive_physics_regret
42,pca_gamma_test_01,all_off,0.08633517148746958,0.08633517148746958,0.0,0.0
42,pca_gamma_test_01,all_on,0.09236768527669872,0.08633517148746958,0.006032513789229144,0.006032513789229144
42,pca_gamma_test_01,anti_oracle,0.09698626755618933,0.08633517148746958,0.010651096068719751,0.010651096068719751
42,pca_gamma_test_01,data_only,0.08633517148746958,0.08633517148746958,0.0,0.0
42,pca_gamma_test_01,inverse_residual,0.09486141437685004,0.08633517148746958,0.008526242889380461,0.008526242889380461
42,pca_gamma_test_01,oracle,0.08344071461628809,0.08633517148746958,-0.0028944568711814916,0.0
42,pca_gamma_test_01,priorcred,0.08445066573269178,0.08633517148746958,-0.0018845057547778044,0.0
42,pca_gamma_test_01,random_credibility,0.09324487815782033,0.08633517148746958,0.006909706670350749,0.006909706670350749
42,pca_gamma_test_01,validation_selected_scalar,0.08633517148746958,0.08633517148746958,0.0,0.0
42,pca_gamma_test_02,all_off,0.08214726658678866,0.08214726658678866,0.0,0.0
42,pca_gamma_test_02,all_on,0.09138709273126222,0.08214726658678866,0.009239826144473565,0.009239826144473565
42,pca_gamma_test_02,anti_oracle,0.09414934260836529,0.08214726658678866,0.01200207602157663,0.01200207602157663
42,pca_gamma_test_02,data_only,0.08214726658678866,0.08214726658678866,0.0,0.0
42,pca_gamma_test_02,inverse_residual,0.0899674469578129,0.08214726658678866,0.007820180371024249,0.007820180371024249
42,pca_gamma_test_02,oracle,0.08321657769246228,0.08214726658678866,0.001069311105673626,0.001069311105673626
42,pca_gamma_test_02,priorcred,0.08447259689133851,0.08214726658678866,0.002325330304549858,0.002325330304549858
42,pca_gamma_test_02,random_credibility,0.09124150458510469,0.08214726658678866,0.009094237998316032,0.009094237998316032
42,pca_gamma_test_02,validation_selected_scalar,0.08214726658678866,0.08214726658678866,0.0,0.0
42,pca_gamma_test_03,all_off,0.10994874846950234,0.10994874846950234,0.0,0.0
42,pca_gamma_test_03,all_on,0.12228850128124245,0.10994874846950234,0.012339752811740115,0.012339752811740115
42,pca_gamma_test_03,anti_oracle,0.15862016079904098,0.10994874846950234,0.048671412329538644,0.048671412329538644
42,pca_gamma_test_03,data_only,0.10994874846950234,0.10994874846950234,0.0,0.0
42,pca_gamma_test_03,inverse_residual,0.1256318177491384,0.10994874846950234,0.015683069279636058,0.015683069279636058
42,pca_gamma_test_03,oracle,0.09737400502767726,0.10994874846950234,-0.012574743441825076,0.0
42,pca_gamma_test_03,priorcred,0.12076862639243703,0.10994874846950234,0.010819877922934693,0.010819877922934693
42,pca_gamma_test_03,random_credibility,0.12202542147930912,0.10994874846950234,0.012076673009806776,0.012076673009806776
42,pca_gamma_test_03,validation_selected_scalar,0.10994874846950234,0.10994874846950234,0.0,0.0
42,pca_gamma_test_04,all_off,0.11195539966171555,0.11195539966171555,0.0,0.0
42,pca_gamma_test_04,all_on,0.11900523803493926,0.11195539966171555,0.007049838373223705,0.007049838373223705
42,pca_gamma_test_04,anti_oracle,0.1373671096002154,0.11195539966171555,0.025411709938499838,0.025411709938499838
42,pca_gamma_test_04,data_only,0.11195539966171555,0.11195539966171555,0.0,0.0
42,pca_gamma_test_04,inverse_residual,0.11352742006321673,0.11195539966171555,0.001572020401501173,0.001572020401501173
42,pca_gamma_test_04,oracle,0.10372477774274663,0.11195539966171555,-0.008230621918968922,0.0
42,pca_gamma_test_04,priorcred,0.11128676626819933,0.11195539966171555,-0.0006686333935162214,0.0
