parent_seed,development_units,safe_fraction,reported_safe_fraction,selected_threshold,reported_threshold,feasible_thresholds,reported_feasible_thresholds,maximum_threshold_metric_absolute_difference,test_access_authorized,passed
42,960,0.4895833333333333,0.4895833333333333,0.7221745355024216,0.7221745355024216,25,25,2.7755575615628914e-17,True,True
1042,960,0.5010416666666667,0.5010416666666667,0.7730193956888518,0.7730193956888518,3,3,9.540979117872439e-18,True,True
2042,960,0.47604166666666664,0.47604166666666664,0.770833189716132,0.770833189716132,10,10,5.551115123125783e-17,True,True
3042,960,0.496875,0.496875,0.6629553030149934,0.6629553030149934,26,26,2.7755575615628914e-17,True,True
4042,960,0.54375,0.54375,0.6558801619109993,0.6558801619109993,86,86,2.7755575615628914e-17,True,True
