parent_seed,auroc,auprc,prevalence_auprc,brier,prevalence_brier,brier_better_than_prevalence,ece,threshold,all_on_fraction,all_off_fraction,trajectory_candidate_units
42,0.5534858387799564,0.5610656663324363,0.53125,0.25034547199847457,0.2490234375,False,0.0945139238697126,0.7221745355024216,0.2413793103448276,0.7586206896551724,192
1042,0.551219512195122,0.5799327911132183,0.5729166666666666,0.24729312366179254,0.24468315972222224,False,0.08891908510675926,0.7730193956888518,0.03643461288223813,0.9635653871177619,192
2042,0.5580764220581851,0.5673387656545013,0.5104166666666666,0.24916814842030624,0.24989149305555555,True,0.07135823398602394,0.770833189716132,0.2114508783344177,0.7885491216655823,192
3042,0.5582546108861899,0.5856616071563159,0.59375,0.24582061048546708,0.2412109375,False,0.15529080423530012,0.6629553030149932,0.2934287573194535,0.7065712426805465,192
4042,0.5790509259259259,0.6755595859105918,0.625,0.23823951376304484,0.234375,False,0.08876360461507769,0.6558801619109991,0.6851008458035134,0.3148991541964867,192
