parent_seed,method,status,mae,mse,rmse,r2,macro_run_rmse,samples,runs
42,all_off,completed,0.13793177663732778,0.02568341548455661,0.16026046138881733,0.6761679222630823,0.15594867434516466,1537,16
42,all_on,completed,0.14144643841092594,0.027330305137503123,0.16531879850005904,0.6554029387881319,0.15527411163564953,1537,16
42,anti_oracle,completed,0.17343956891825252,0.04118371985288977,0.20293772407536695,0.4807306848687738,0.19242371372403794,1537,16
42,data_only,completed,0.13793177663732778,0.02568341548455661,0.16026046138881733,0.6761679222630823,0.15594867434516466,1537,16
42,inverse_residual,completed,0.1424637666235629,0.02762660102643476,0.16621251765867323,0.6516670605364511,0.15610772441633125,1537,16
42,oracle,completed,0.11318814226928071,0.017328030837668637,0.13163597850765815,0.7815176788840361,0.13023638608049304,1537,16
42,priorcred,completed,0.13688699382802055,0.025911295549865036,0.16096985913476172,0.6732946722053543,0.1541077024138296,1537,16
42,random_credibility,completed,0.14151995062345107,0.027501754687730782,0.16583653001594909,0.6532411988859501,0.1556354535411486,1537,16
42,validation_selected_scalar,completed,0.13793177663732778,0.02568341548455661,0.16026046138881733,0.6761679222630823,0.15594867434516466,1537,16
1042,all_off,completed,0.14174911454662306,0.027210054368288404,0.1649547039895753,0.6569191334105988,0.15909816172643132,1537,16
1042,all_on,completed,0.1392176583872547,0.025959489067924016,0.1611194869279443,0.6726870191034577,0.15608658841553605,1537,16
1042,anti_oracle,completed,0.1744947252349406,0.0416663037064325,0.2041232561626247,0.4746459749878392,0.19501797484869526,1537,16
1042,data_only,completed,0.14174911454662306,0.027210054368288404,0.1649547039895753,0.6569191334105988,0.15909816172643132,1537,16
1042,inverse_residual,completed,0.1404734752923592,0.02632133139162679,0.16223850156983943,0.6681246916525669,0.15685355990865513,1537,16
1042,oracle,completed,0.11523274689886068,0.017711947227780942,0.1330862398138175,0.7766770282173799,0.13444392837650612,1537,16
1042,priorcred,completed,0.1410539249400866,0.026960847987608658,0.16419758825149855,0.6600612785855404,0.15846011497104823,1537,16
1042,random_credibility,completed,0.1396646533437632,0.026145249624495694,0.16169492763997173,0.6703448373546033,0.15665710561844126,1537,16
1042,validation_selected_scalar,completed,0.14174911454662306,0.027210054368288404,0.1649547039895753,0.6569191334105988,0.15909816172643132,1537,16
2042,all_off,completed,0.1320279579060958,0.023934175423233475,0.15470674007047486,0.6982234017556574,0.15144119531931285,1537,16
2042,all_on,completed,0.13648512217164083,0.02519562943639893,0.15873131208554578,0.6823182245685122,0.15094864451111964,1537,16
2042,anti_oracle,completed,0.17098211096574306,0.04056010367674447,0.2013953913989704,0.48859361579993876,0.1899919545706834,1537,16
2042,data_only,completed,0.1320279579060958,0.023934175423233475,0.15470674007047486,0.6982234017556574,0.15144119531931285,1537,16
2042,inverse_residual,completed,0.13711437828556886,0.02543357518147282,0.15947907443132725,0.6793180603161264,0.15158576684421318,1537,16
2042,oracle,completed,0.10105851871170911,0.014033960209426903,0.11846501681689368,0.8230513190027771,0.12560245690085564,1537,16
2042,priorcred,completed,0.1332882291280768,0.024366803951783086,0.15609869939170884,0.6927685589068655,0.1500262582693511,1537,16
2042,random_credibility,completed,0.13668189382085896,0.025284584480882225,0.15901127155293812,0.6811966254222643,0.15186442150785648,1537,16
2042,validation_selected_scalar,completed,0.1320279579060958,0.023934175423233475,0.15470674007047486,0.6982234017556574,0.15144119531931285,1537,16
3042,all_off,completed,0.1424502163136859,0.02759930292427198,0.1661303792937101,0.6520112515630286,0.1614248730502521,1537,16
3042,all_on,completed,0.13374482470875995,0.023958812312951876,0.15478634407773792,0.6979127649094294,0.15691644010993575,1537,16
3042,anti_oracle,completed,0.17282439412403108,0.04060529407378745,0.20150755339139884,0.488023827869008,0.19631147493461865,1537,16
3042,data_only,completed,0.1424502163136859,0.02759930292427198,0.1661303792937101,0.6520112515630286,0.1614248730502521,1537,16
3042,inverse_residual,completed,0.13482924487564438,0.024318290594170688,0.1559432287538343,0.6933802447398133,0.15760679474558667,1537,16
3042,oracle,completed,0.11056239218660756,0.016707954757072693,0.12925925404810557,0.789335974143679,0.13532493023424258,1537,16
3042,priorcred,completed,0.14292013752952862,0.027816840606882113,0.16678381398349815,0.6492684045383379,0.16230259481072368,1537,16
3042,random_credibility,completed,0.13387822093431942,0.024060325479508284,0.15511391130233382,0.6966328253444061,0.15733343009372436,1537,16
3042,validation_selected_scalar,completed,0.1424502163136859,0.02759930292427198,0.1661303792937101,0.6520112515630286,0.1614248730502521,1537,16
4042,all_off,completed,0.1574325367037895,0.03461446300160564,0.18604962510471673,0.5635598590733489,0.1816138460352552,1537,16
4042,all_on,completed,0.15169552056268512,0.03210517796360732,0.17917917837630387,0.5951984465492928,0.17890559031581565,1537,16
4042,anti_oracle,completed,0.17987110392672034,0.04639092770478159,0.21538553271931146,0.4150750504419559,0.21011186024736422,1537,16
4042,data_only,completed,0.1574325367037895,0.03461446300160564,0.18604962510471673,0.5635598590733489,0.1816138460352552,1537,16
4042,inverse_residual,completed,0.15216458589822923,0.03243352175811466,0.18009309192224632,0.5910584888691599,0.1792589711521345,1537,16
4042,oracle,completed,0.14144302283344956,0.027765131692931645,0.16662872409321164,0.6499203818834915,0.16418300360412774,1537,16
4042,priorcred,completed,0.1517455345227231,0.03257116528597559,0.18047483283265728,0.5893229957981139,0.1795613681917493,1537,16
4042,random_credibility,completed,0.15224164748365895,0.03230438060342849,0.17973419430767337,0.5926867788630866,0.17898578604284382,1537,16
4042,validation_selected_scalar,completed,0.1574325367037895,0.03461446300160564,0.18604962510471673,0.5635598590733489,0.1816138460352552,1537,16
