scope,group,units,safe_fraction,mean_regret,median_regret,mean_positive_regret
candidate_family_scale,gamma__scale_0.60,80,0.525,0.008782439219453004,0.00729799035737595,0.01876089430900029
candidate_family_scale,gamma__scale_1.00,80,0.85,-0.003780646774977775,-0.00447100208172445,0.003975247293861407
candidate_family_scale,gamma__scale_1.60,80,0.4125,0.00708837318777992,0.018558007207253202,0.02663604633602585
candidate_family_scale,linear_increasing__scale_0.60,80,0.375,0.029926116953913107,0.029264331244714947,0.03906196355474806
candidate_family_scale,linear_increasing__scale_1.00,80,0.4875,0.008659289923761495,0.0108258575292272,0.01792671008892503
candidate_family_scale,linear_increasing__scale_1.60,80,0.8,-0.0020494751799940447,-0.0037657095686514496,0.004618677074063409
candidate_family_scale,progressively_increasing__scale_0.60,80,0.5375,0.007024543941855475,0.0014945484428721002,0.017152133059718473
candidate_family_scale,progressively_increasing__scale_1.00,80,0.8375,-0.0036967426243318473,-0.005179975997160699,0.003940156403636505
candidate_family_scale,progressively_increasing__scale_1.60,80,0.4125,0.007400237539762981,0.024626543330127502,0.02752636692869844
candidate_family_scale,step_like__scale_0.60,80,0.625,0.001921616820580512,-0.0007184596601408466,0.010120273141038312
candidate_family_scale,step_like__scale_1.00,80,0.5875,-0.0009090297604094404,0.00173413990527565,0.011983345453626422
candidate_family_scale,step_like__scale_1.60,80,0.35,0.020424447817563765,0.03978528773059495,0.04357634959986957
law_correctness,false,880,0.5681818181818182,0.006244005027733665,0.00162645665890575,0.019086032683631113
law_correctness,true,80,0.55,0.012107115759886832,0.0076603084872416,0.015331803723269524
true_family,gamma,240,0.48333333333333334,0.019014824738047602,0.010728125023110449,0.021216825863152766
true_family,linear_increasing,240,0.5916666666666667,-0.0077508733274738355,-0.0121507910649482,0.016888005117803487
true_family,progressively_increasing,240,0.5833333333333334,0.011285815580119506,0.00397531495465755,0.019605143870011697
true_family,step_like,240,0.6083333333333333,0.004380623364292449,-0.00576548372781665,0.01738274623010264
