model,weight_profile,folds_completed_run5,seed_runs_run5,fold_wins_run5,macro_mae_mean_run5,macro_rmse_mean_run5,between_bearing_rmse_std_run5,worst_bearing_rmse_run5,macro_r2_mean_run5,macro_rmse_seconds_mean_run5,macro_late_life_mae_run5,mean_abs_late_life_bias,worst_abs_late_life_bias_run5,training_seconds_total_run5,parameter_count_run5,rank_by_macro_rmse_run5,dataset,folds_completed_run4,seed_runs_run4,fold_wins_run4,macro_mae_mean_run4,macro_rmse_mean_run4,between_bearing_rmse_std_run4,worst_bearing_rmse_run4,macro_r2_mean_run4,macro_rmse_seconds_mean_run4,macro_late_life_mae_run4,worst_abs_late_life_bias_run4,training_seconds_total_run4,parameter_count_run4,rank_by_macro_rmse_run4,macro_mae_mean_change,macro_rmse_mean_change,between_bearing_rmse_std_change,worst_bearing_rmse_change,macro_r2_mean_change,macro_late_life_mae_change,worst_abs_late_life_bias_change
weak_pinn,weak_high,4,12,2,0.24370552996183237,0.2881040271960703,0.16742345042101425,0.4797741521726914,-0.2696332759706922,740353.4495914347,0.33092343444900885,0.31592817088851866,0.6635861173238035,1358.0304567813873,160001,1,ims,4,12,1,0.2598244876911243,0.3142380275824754,0.1866715598196676,0.4970886445823675,-0.5357825408379236,922256.3039111408,0.2905343181403505,0.7047535522307432,1459.665496826172,160001,1,-0.01611895772929195,-0.026134000386405065,-0.019248109398653346,-0.017314492409676085,0.26614926486723145,0.040389116308658324,-0.04116743490693975
strong_pinn,strong_paris_0p003_miner_0p003,4,12,0,0.2591349379810604,0.31158704640392487,0.17354852881545402,0.48348934224176493,-0.4611874182192602,774341.661054767,0.3781848610534627,0.3520496978432628,0.6718267340417644,1058.308427810669,160001,2,ims,4,12,2,0.2754792440682649,0.3280654564542327,0.207857832072516,0.5288349893880633,-0.7037481516599655,768719.120135433,0.4329632666708871,0.7832535341168699,1169.2570338249209,160001,2,-0.016344306087204497,-0.016478410050307812,-0.034309303257061996,-0.04534564714629835,0.24256073344070533,-0.054778405617424364,-0.11142680007510553
lstm,data_only,4,12,2,0.30569340445899557,0.3717529823050171,0.10263115090740538,0.4694049255987303,-0.8114092720756786,1026997.3733254257,0.3223377292320626,0.28615533893301504,0.5926374962178323,678.7358226776123,84673,3,ims,4,12,1,0.2887720943739016,0.3460318591287492,0.1900894346113055,0.5428417150913537,-0.8060216655333837,1064520.2914709223,0.3057723932751282,0.7505070397616308,585.6835064888,84673,3,0.016921310085093955,0.0257211231762679,-0.08745828370390013,-0.07343678949262339,-0.005387606542294865,0.016565335956934435,-0.15786954354379845
